"","chr","pos","mu1","mu2","diff","diff.se","stat","phi1","phi2","pval","fdr","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Geneid","subjectHits"
"1040","chr3",94369888,0.198461063430284,0.000810663270969245,0.197650400159314,0.0923805870129633,2.13952310274429,0.0378491945504824,0.0281797383194694,0.0323933269191639,0.999957199785666,"Rorc","NM_001293734 NM_011281 NP_001280663 NP_035411 NR_121656 XM_006501162 XM_006501163 XM_006501164 XP_006501225 XP_006501226 XP_006501227","upstream","upstream",2906,NA,NA,NA,11,NA,"+",25046,NA,"19885",30384
"3635","chr11",53615513,0.236703850827038,0.069363795013516,0.167340055813522,0.0791495100027238,2.11422731243394,0.0293557016405292,0.022421162157329,0.0344958571754466,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",1711,"inside intron",-1456,2,4,"inside transcription region","-",14242,NA,"16189",20500
"3715","chr11",53618419,0.136002788619396,0.00836142489261318,0.127641363726783,0.0607260737940541,2.10192024203088,0.0360163041478433,0.0250200394871117,0.0355602630546676,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","promoter","promoter",67,NA,NA,NA,3,NA,"-",5892,NA,"16189",20502
"1777","chr4",128785250,0.0045649667117411,0.424702442292702,-0.420137475580961,0.200924696604144,-2.09101958436052,0.0375506285139218,0.0283857585461166,0.0365263084357526,0.999957199785666,"Zfp362","NM_001081098 NP_001074567 XM_030253454 XM_036164050 XP_030109314 XP_036019943","downstream","downstream",4842,NA,NA,NA,2,NA,"-",771,NA,"230761",45395
"4918","chrX",7567504,0.00380718525503692,0.265612071575165,-0.261804886320128,0.125818440082377,-2.08081491193753,0.0375517713756046,0.0266557730415925,0.03745085071274,0.999957199785666,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","upstream","upstream",3216,NA,NA,NA,3,NA,"-",2058,NA,"54646",67916
"56","chr1",20731184,0.210168486269326,0.0226044081548973,0.187564078114429,0.0903031793913,2.07704844257675,0.0314306792755214,0.0259532012779589,0.0377970883956895,0.999957199785666,"Il17a","NM_010552 NP_034682","inside intron","inside",279,"inside intron",-195,1,3,"inside transcription region","+",3591,NA,"16171",20419
"501","chr2",9869521,0.188415660539211,0.000608054478216862,0.187807606060994,0.0905151703538126,2.07487435892655,0.0354604244820897,0.0281856455832399,0.0379981806893179,0.999957199785666,"Gata3","NM_001355110 NM_001355111 NM_001355112 NM_008091 NP_001342039 NP_001342040 NP_001342041 NP_032117 XM_006497354 XM_030247532 XM_030247533 XP_006497417 XP_030103392 XP_030103393","inside intron","inside",4151,"inside intron",-614,2,3,"inside transcription region","-",10489,NA,"14462",17664
"5631","chrX",7589153,0.376687461163452,0.00111656112984079,0.375570900033612,0.183592347690967,2.0456783997653,0.0360712267867088,0.0281757615760821,0.0407880222809963,0.999957199785666,"Foxp3","NM_001199347 NM_001199348 NM_054039 NP_001186276 NP_001186277 NP_473380","inside intron","inside",2798,"inside intron",-197,6,10,"inside transcription region","+",6693,NA,"20371",31451
"3696","chr11",53617969,0.176465126973743,0.0196642190701474,0.156800907903595,0.0770162329643283,2.03594621378354,0.0304587192840551,0.0260648068477796,0.041755756532323,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",383,"inside intron",200,1,3,"5' UTR","-",5892,NA,"16189",20502
"3562","chr11",53612700,0.161942381198042,0.0241257811001667,0.137816600097875,0.0678093716125393,2.03241228786716,0.030701499865637,0.0236438414071131,0.0421119351562043,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",4524,"inside intron",1203,2,4,"inside transcription region","-",14242,NA,"16189",20500
"3556","chr11",53612567,0.15264556791559,0.0150360547209927,0.137609513194598,0.0677785306752226,2.03028174000979,0.0348586043081457,0.027249229439751,0.0423279092207237,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",4657,"inside intron",1336,2,4,"inside transcription region","-",14242,NA,"16189",20500
"4930","chrX",7567721,0.00329797954215812,0.22445319549152,-0.221155215949362,0.1095034803849,-2.01961814521339,0.0375543610621939,0.0259796645291527,0.043423011524296,0.999957199785666,"Ppp1r3f","NM_001290574 NM_138605 NP_001277503 NP_613071","upstream","upstream",3433,NA,NA,NA,3,NA,"-",2058,NA,"54646",67916
"4069","chr11",97109937,0.00162919075092922,0.153272699670845,-0.151643508919916,0.0751301912309053,-2.01840972897106,0.0375654463634892,0.0245861711793599,0.0435486069816805,0.999957199785666,"Tbx21","NM_019507 NP_062380","inside intron","inside",5394,"inside intron",4712,1,6,"inside transcription region","-",17260,NA,"57765",70992
"3557","chr11",53612665,0.150070488742606,0.0177227342690466,0.13234775447356,0.0656424776734021,2.01619072229485,0.035284203602309,0.0220166763970746,0.043780036207905,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",4559,"inside intron",1238,2,4,"inside transcription region","-",14242,NA,"16189",20500
"3555","chr11",53612566,0.128077280643682,0.000286610707670345,0.127790669936011,0.064475326165255,1.98200889451066,0.0459348351688724,0.0282064962262738,0.0474782451661076,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",4658,"inside intron",1337,2,4,"inside transcription region","-",14242,NA,"16189",20500
"3620","chr11",53614729,0.119890621157921,0.000280231072513995,0.119610390085407,0.0604303782765129,1.97930897500099,0.0351107451039778,0.0282068426619991,0.0477812297323041,0.999957199785666,"Il4","NM_021283 NP_067258 NR_027491","inside intron","inside",2495,"inside intron",-672,2,4,"inside transcription region","-",14242,NA,"16189",20500
